task_id,dataset_name,model_name,horizon,n_support,n_query,seasonal_period,rmse,mae,smape
btc_task_001,BTC,AdaptSmooth-Chronos2,5,,209,,100.2702639522834,74.3205836505171,0.008117836520466189
btc_task_001,BTC,AutoARIMA,5,,209,,112.03415319817303,85.94392233680297,0.009429207623337953
btc_task_001,BTC,Chronos2,5,,209,,107.77710917981562,81.87856459330142,0.008948232364084836
btc_task_001,BTC,ChronosBolt_Mini,5,,209,,102.58940411816701,75.43167464114833,0.008250078638869193
btc_task_001,BTC,ChronosBolt_Tiny,5,,209,,100.96717454167087,75.27301435406696,0.008243267343418736
btc_task_001,BTC,Drift,5,,209,,95.57819032477,72.23091638244698,0.007908236889832014
btc_task_001,BTC,ETS,5,,209,,96.03681762391214,71.49080505929453,0.00781534887708305
btc_task_001,BTC,LocalDLinear_L5_K3_ep20,5,,209,,144.88333606298238,113.41229739832534,0.012406112966079037
btc_task_001,BTC,LocalFITS_L5_Cauto_ep20,5,,209,,107.17807541984536,79.68879093151915,0.008711671075493142
btc_task_001,BTC,Naive,5,,209,,95.78736961869717,71.99468899521531,0.007876172326608004
btc_task_001,BTC,SES,5,,209,,96.42285854073504,71.88895621938062,0.007855218201621885
btc_task_001,BTC,SeasonalNaive,5,,209,,290.66554216884094,224.09822966507184,0.024466529466815296
btc_task_001,BTC,Theta,5,,209,,95.82440709446581,71.46420044135338,0.00780916096500331
btc_task_002,BTC,AdaptSmooth-Chronos2,5,,86,,105.54952284412715,72.9033513500785,0.00816782485384898
btc_task_002,BTC,AutoARIMA,5,,86,,207.09141554309593,148.8357885366631,0.017067830828218444
btc_task_002,BTC,Chronos2,5,,86,,115.9349824405402,82.35581395348837,0.009210027104125778
btc_task_002,BTC,ChronosBolt_Mini,5,,86,,97.8675952499089,68.60651162790693,0.007711100691616061
btc_task_002,BTC,ChronosBolt_Tiny,5,,86,,104.3613274403707,71.68720930232557,0.008070448128140928
btc_task_002,BTC,Drift,5,,86,,94.72087248456184,65.80885948410604,0.007353980687758056
btc_task_002,BTC,ETS,5,,86,,98.12676656556462,71.33447704428299,0.0079493426510734
btc_task_002,BTC,LocalDLinear_L5_K3_ep20,5,,86,,162.79070674448215,118.84405318859002,0.013305416422142691
btc_task_002,BTC,LocalFITS_L5_Cauto_ep20,5,,86,,123.0391688373339,94.5997504087936,0.010567421735326005
btc_task_002,BTC,Naive,5,,86,,102.4826767777603,72.02255813953488,0.008055652898448699
btc_task_002,BTC,SES,5,,86,,103.79173768593968,75.02021704375773,0.008370695143883715
btc_task_002,BTC,SeasonalNaive,5,,86,,460.5312227162363,397.85104651162794,0.045148377631529166
btc_task_002,BTC,Theta,5,,86,,97.77162052475424,70.45129907396546,0.007866508467077704
btc_task_003,BTC,AdaptSmooth-Chronos2,5,,213,,202.22824392251607,144.4880757478592,0.014162907395431143
btc_task_003,BTC,AutoARIMA,5,,213,,255.91455635249764,190.9770973851687,0.018466017293448725
btc_task_003,BTC,Chronos2,5,,213,,207.6177266260992,152.76225352112675,0.014941332543353305
btc_task_003,BTC,ChronosBolt_Mini,5,,213,,211.9764563860143,148.6256338028169,0.014466695150184514
btc_task_003,BTC,ChronosBolt_Tiny,5,,213,,208.64425242829358,148.1119248826291,0.014393162896562346
btc_task_003,BTC,Drift,5,,213,,203.4537169687308,141.9458558964591,0.0139508625023551
btc_task_003,BTC,ETS,5,,213,,210.5015166451714,149.3646091064429,0.014759888841390352
btc_task_003,BTC,LocalDLinear_L5_K3_ep20,5,,213,,245.77258664541432,184.6207739143193,0.018014161398846432
btc_task_003,BTC,LocalFITS_L5_Cauto_ep20,5,,213,,210.78475300304993,148.66087808098595,0.014611338471180813
btc_task_003,BTC,Naive,5,,213,,201.13034447244806,140.15671361502342,0.013777883686931315
btc_task_003,BTC,SES,5,,213,,204.85000648384639,143.69899493492375,0.01412763901824865
btc_task_003,BTC,SeasonalNaive,5,,213,,547.3156771871566,444.92694835680754,0.042757850715413714
btc_task_003,BTC,Theta,5,,213,,203.6939567726596,142.25393855556075,0.013990408884236165
btc_task_004,BTC,AdaptSmooth-Chronos2,5,,128,,376.70021981663956,283.7253706189401,0.008416010993905505
btc_task_004,BTC,AutoARIMA,5,,128,,378.8230028128773,289.42303193728003,0.008581776559266088
btc_task_004,BTC,Chronos2,5,,128,,382.5214020830238,285.1226562500001,0.00845139652223943
btc_task_004,BTC,ChronosBolt_Mini,5,,128,,393.1254545963189,305.65546874999995,0.009066420116541605
btc_task_004,BTC,ChronosBolt_Tiny,5,,128,,364.24895751609563,279.0821874999999,0.008269546346094427
btc_task_004,BTC,Drift,5,,128,,383.53051190788887,291.2107527906323,0.008636938711631357
btc_task_004,BTC,ETS,5,,128,,382.60310458030847,291.70499465926605,0.00865070064136066
btc_task_004,BTC,LocalDLinear_L5_K3_ep20,5,,128,,404.1058574181982,302.78298278808586,0.008982881151209439
btc_task_004,BTC,LocalFITS_L5_Cauto_ep20,5,,128,,392.6920386815938,305.7106719970702,0.009068345153730156
btc_task_004,BTC,Naive,5,,128,,376.7415345556889,286.5775000000008,0.008501976772009482
btc_task_004,BTC,SES,5,,128,,375.8288537615418,286.9827083900249,0.008513348142558996
btc_task_004,BTC,SeasonalNaive,5,,128,,912.2630993441534,701.6912500000004,0.0208471689410245
btc_task_004,BTC,Theta,5,,128,,377.33554713383825,287.6368398271562,0.008532136834728053
btc_task_005,BTC,AdaptSmooth-Chronos2,5,,218,,185.99102929268435,105.35826300296691,0.0064166260182754115
btc_task_005,BTC,AutoARIMA,5,,218,,189.96818405049945,104.61907480018165,0.006374233868091719
btc_task_005,BTC,Chronos2,5,,218,,194.74867143968643,112.65605504587161,0.006862604964158643
